lng,lat
-96.44,16.96
-97.9,19
-99.85,20.86
-88.12,19.63
-107.48,25
-100.42,22.59
-110.81,29.69
-92.59,17.94
-98.67,24.28
-98.17,19.43
-96.41,19.37
-88.92,20.74
-102.66,23.29
109.71,3.79
35.56,-17.3
17.22,-22.14
9.4,17.42
8.1,9.59
7.52,5.46
12.4,9.33
7.85,4.91
6.94,6.23
9.99,10.78
8.74,7.33
13.15,11.88
6.07,4.77
8.6,5.87
5.94,5.71
8.02,6.26
5.93,6.63
5.31,7.72
7.44,6.53
7.18,8.9
11.18,10.37
7.06,5.57
9.57,12.23
7.71,10.37
4.53,11.71
8.53,11.74
6.69,7.73
7.63,12.38
4.38,8.97
3.59,6.52
8.19,8.5
5.59,9.92
3.48,6.99
5.15,6.92
4.52,7.56
3.61,8.16
9.52,9.22
6.91,4.86
5.32,13.05
10.78,8.02
11.43,12.3
6.23,12.11
-85.04,12.85
4.4,51.64
6.62,52.86
5.52,52.55
5.79,53.09
5.94,52.06
6.74,53.22
5.93,51.21
5.18,51.56
4.92,52.6
6.44,52.44
5.16,52.08
3.86,51.48
4.46,51.94
15.37,68.72
83.95,28.26
171.51,-41.8
171.51,-41.8
174.73,-36.71
176.82,-38.16
171.55,-43.58
176.75,-39.39
175.56,-39.75
173.39,-41.25
173.83,-35.51
174.43,-39.33
175.5,-38.04
170.87,-42.79
56.1,20.6
-80.12,8.51
-82.59,9.22
-79.9,8.82
-80.43,8.55
-80,9.19
-82.4,8.48
-77.91,8.16
-80.71,7.88
-80.39,7.59
-78.85,9.05
-81.14,8.08
-77.76,8.23
-78.3,9.16
-81.77,8.66
-74.38,-9.15
145.25,-6.47
122.87,11.75
69.38,29.99
19.4,52.12
16.41,51.09
18.49,53.07
22.9,51.22
15.34,52.2
19.42,51.6
20.27,49.86
21.1,52.35
17.9,50.65
22.17,49.95
22.93,53.26
17.97,54.15
18.99,50.33
20.77,50.76
20.83,53.85
17.24,52.33
15.56,53.58
-66.47,18.22
-66.75,18.18
-67.18,18.36
-67.12,18.46
-66.13,18.25
-66.26,18.13
-67.12,18.29
-66.68,18.41
-66.06,18
-66.56,18.45
-66.31,18.2
-66.17,18.35
-67.15,18.04
-66.05,18.21
-66.86,18.42
-65.89,18.33
-65.96,18.38
-66.14,18.44
-66.15,18.1
-65.66,18.25
-66.52,18.29
-66.16,18.17
-66.36,18.1
-66.22,18.22
-66.33,18.3
-65.29,18.31
-66.28,18.44
-65.67,18.32
-66.56,18.37
-66.92,17.98
-66.14,18
-66.79,18.04
-66.11,18.34
-65.98,18.27
-66.8,18.41
-67.11,18.13
-65.81,18.15
-67.01,18.45
-66.59,18.21
-66.5,18.05
-65.91,18.22
-67.04,18.01
-66.87,18.27
-66.98,18.24
-65.87,18.19
-65.9,18.43
-65.72,18.34
-66.49,18.42
-66.94,18.17
-65.92,18.02
-67.33,18.18
-67.08,18.38
-66.42,18.32
-65.75,18.23
-66.25,18.29
-66.43,18.21
-66.01,18.03
-66.72,18.06
-66.61,18.06
-66.93,18.44
-67.23,18.34
-65.81,18.35
-66.94,18.08
-66.26,18.01
-67.04,18.11
-66.06,18.39
-65.98,18.15
-66.97,18.33
-66.39,17.99
-66.25,18.36
-66.21,18.43
-66,18.34
-66.7,18.27
-66.34,18.41
-66.4,18.43
-65.44,18.12
-66.47,18.13
